epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4778,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025553,0.00025553,0.00025553
2,19.9695,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000518193,0.000518193,0.000518193
3,29.1784,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000776796,0.000776796,0.000776796
4,38.4927,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00103134,0.00103134,0.00103134
5,47.7347,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00107716,0.00107716,0.00107716
6,56.9432,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0010687,0.0010687,0.0010687
7,66.2192,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00106024,0.00106024,0.00106024
8,75.4853,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00105178,0.00105178,0.00105178
9,84.75,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00104331,0.00104331,0.00104331
10,93.9835,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00103485,0.00103485,0.00103485
11,103.215,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00102639,0.00102639,0.00102639
12,112.412,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00101793,0.00101793,0.00101793
13,121.579,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100947,0.00100947,0.00100947
14,130.809,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100101,0.00100101,0.00100101
15,140.054,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00099255,0.00099255,0.00099255
16,149.256,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00098409,0.00098409,0.00098409
17,158.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000975629,0.000975629,0.000975629
18,167.665,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000967168,0.000967168,0.000967168
19,176.941,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000958708,0.000958708,0.000958708
20,186.181,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000950247,0.000950247,0.000950247
21,195.406,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000941786,0.000941786,0.000941786
22,204.632,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000933325,0.000933325,0.000933325
23,213.933,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000924865,0.000924865,0.000924865
24,223.167,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000916404,0.000916404,0.000916404
25,232.415,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000907943,0.000907943,0.000907943
26,241.68,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000899483,0.000899483,0.000899483
27,250.94,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000891022,0.000891022,0.000891022
28,260.267,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000882561,0.000882561,0.000882561
29,269.549,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000874101,0.000874101,0.000874101
30,278.832,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00086564,0.00086564,0.00086564
31,288.159,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000857179,0.000857179,0.000857179
32,297.46,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000848719,0.000848719,0.000848719
33,306.825,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000840258,0.000840258,0.000840258
34,316.105,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000831797,0.000831797,0.000831797
35,325.405,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000823336,0.000823336,0.000823336
36,334.727,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000814876,0.000814876,0.000814876
37,344.121,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000806415,0.000806415,0.000806415
38,353.485,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000797954,0.000797954,0.000797954
39,362.826,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000789494,0.000789494,0.000789494
40,372.144,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000781033,0.000781033,0.000781033
41,381.384,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000772572,0.000772572,0.000772572
42,390.69,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000764112,0.000764112,0.000764112
43,399.972,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000755651,0.000755651,0.000755651
44,409.29,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00074719,0.00074719,0.00074719
45,418.578,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00073873,0.00073873,0.00073873
46,427.952,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000730269,0.000730269,0.000730269
47,437.241,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000721808,0.000721808,0.000721808
48,446.623,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000713347,0.000713347,0.000713347
49,455.858,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000704887,0.000704887,0.000704887
50,465.163,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000696426,0.000696426,0.000696426
51,474.435,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000687965,0.000687965,0.000687965
52,483.69,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000679505,0.000679505,0.000679505
53,493.046,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000671044,0.000671044,0.000671044
54,502.416,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000662583,0.000662583,0.000662583
55,511.799,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000654123,0.000654123,0.000654123
56,521.162,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000645662,0.000645662,0.000645662
57,530.437,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000637201,0.000637201,0.000637201
58,539.739,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000628741,0.000628741,0.000628741
59,549.099,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00062028,0.00062028,0.00062028
60,558.413,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000611819,0.000611819,0.000611819
61,567.644,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000603358,0.000603358,0.000603358
62,576.929,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000594898,0.000594898,0.000594898
63,586.175,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000586437,0.000586437,0.000586437
64,595.511,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000577976,0.000577976,0.000577976
65,604.81,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000569516,0.000569516,0.000569516
66,614.108,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000561055,0.000561055,0.000561055
67,623.488,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000552594,0.000552594,0.000552594
68,632.764,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000544134,0.000544134,0.000544134
69,642.113,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000535673,0.000535673,0.000535673
70,651.394,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000527212,0.000527212,0.000527212
71,660.654,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000518752,0.000518752,0.000518752
72,669.975,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000510291,0.000510291,0.000510291
73,679.268,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00050183,0.00050183,0.00050183
74,688.59,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000493369,0.000493369,0.000493369
75,697.984,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000484909,0.000484909,0.000484909
76,707.277,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000476448,0.000476448,0.000476448
77,716.554,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000467987,0.000467987,0.000467987
78,725.846,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000459527,0.000459527,0.000459527
79,735.152,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000451066,0.000451066,0.000451066
80,744.504,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000442605,0.000442605,0.000442605
81,753.802,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000434145,0.000434145,0.000434145
82,763.09,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000425684,0.000425684,0.000425684
83,772.438,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000417223,0.000417223,0.000417223
84,781.709,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000408763,0.000408763,0.000408763
85,790.992,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000400302,0.000400302,0.000400302
86,800.282,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000391841,0.000391841,0.000391841
87,809.608,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00038338,0.00038338,0.00038338
88,818.91,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00037492,0.00037492,0.00037492
89,828.207,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000366459,0.000366459,0.000366459
90,837.492,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000357998,0.000357998,0.000357998
91,846.778,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000349538,0.000349538,0.000349538
92,856.057,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000341077,0.000341077,0.000341077
93,865.318,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000332616,0.000332616,0.000332616
94,874.629,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000324156,0.000324156,0.000324156
95,883.966,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000315695,0.000315695,0.000315695
96,893.223,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000307234,0.000307234,0.000307234
97,902.614,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000298774,0.000298774,0.000298774
98,911.908,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000290313,0.000290313,0.000290313
99,921.209,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000281852,0.000281852,0.000281852
100,930.47,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000273391,0.000273391,0.000273391
101,939.685,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000264931,0.000264931,0.000264931
102,949.084,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025647,0.00025647,0.00025647
103,958.341,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000248009,0.000248009,0.000248009
104,967.593,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000239549,0.000239549,0.000239549
105,976.885,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000231088,0.000231088,0.000231088
106,986.185,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000222627,0.000222627,0.000222627
107,995.477,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000214167,0.000214167,0.000214167
108,1004.81,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000205706,0.000205706,0.000205706
109,1014.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000197245,0.000197245,0.000197245
110,1023.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000188785,0.000188785,0.000188785
111,1032.79,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000180324,0.000180324,0.000180324
112,1042.11,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000171863,0.000171863,0.000171863
113,1051.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000163402,0.000163402,0.000163402
114,1060.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000154942,0.000154942,0.000154942
115,1070.08,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000146481,0.000146481,0.000146481
116,1079.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00013802,0.00013802,0.00013802
117,1088.74,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00012956,0.00012956,0.00012956
118,1098.14,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000121099,0.000121099,0.000121099
119,1107.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000112638,0.000112638,0.000112638
