epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,626.764,0.99839,1.93504,1.26065,0.23754,0.3774,0.22543,0.12855,nan,nan,nan,0.000757464,0.000757464,0.000757464
47,640.527,0.93361,1.97129,1.20202,0.24878,0.3781,0.27421,0.17189,nan,nan,nan,0.000749608,0.000749608,0.000749608
48,654.264,1.03683,2.09778,1.31709,0.19006,0.40944,0.27088,0.20312,nan,nan,nan,0.000741751,0.000741751,0.000741751
49,667.934,0.9599,1.98526,1.27832,0.17962,0.3859,0.27521,0.19698,nan,nan,nan,0.000733895,0.000733895,0.000733895
50,681.528,0.96764,1.9123,1.28357,0.2343,0.33722,0.301,0.19894,nan,nan,nan,0.000726038,0.000726038,0.000726038
51,695.255,0.88509,1.77624,1.21715,0.30335,0.43912,0.36311,0.23,nan,nan,nan,0.000718182,0.000718182,0.000718182
52,708.602,0.92718,1.7845,1.23179,0.3188,0.41857,0.39805,0.24389,nan,nan,nan,0.000710326,0.000710326,0.000710326
53,721.495,0.96875,2.05447,1.25081,0.27116,0.51949,0.34186,0.22274,nan,nan,nan,0.000702469,0.000702469,0.000702469
54,734.4,0.90129,1.87568,1.23391,0.2476,0.50667,0.27838,0.18742,nan,nan,nan,0.000694613,0.000694613,0.000694613
55,747.253,0.94121,1.98973,1.23691,0.2735,0.40401,0.3173,0.22381,nan,nan,nan,0.000686757,0.000686757,0.000686757
56,760.117,0.93761,2.04606,1.22063,0.30988,0.40391,0.34575,0.20029,nan,nan,nan,0.0006789,0.0006789,0.0006789
57,773.051,0.92312,1.64778,1.21624,0.24372,0.42431,0.25568,0.16618,nan,nan,nan,0.000671044,0.000671044,0.000671044
58,785.922,0.98167,1.86053,1.28708,0.22166,0.40944,0.24618,0.17012,nan,nan,nan,0.000663188,0.000663188,0.000663188
59,798.719,0.84338,1.7977,1.21113,0.24388,0.41003,0.30319,0.18948,nan,nan,nan,0.000655331,0.000655331,0.000655331
60,811.577,0.85044,1.73059,1.14192,0.26811,0.43079,0.31331,0.22239,nan,nan,nan,0.000647475,0.000647475,0.000647475
61,824.547,0.89206,1.60611,1.16472,0.27705,0.39079,0.33493,0.25739,nan,nan,nan,0.000639619,0.000639619,0.000639619
62,837.452,0.89118,1.63956,1.19854,0.2371,0.44735,0.31827,0.24029,nan,nan,nan,0.000631762,0.000631762,0.000631762
63,850.206,0.8575,1.73008,1.18461,0.25471,0.44079,0.31606,0.24943,nan,nan,nan,0.000623906,0.000623906,0.000623906
64,863.015,0.91849,1.7874,1.24438,0.31191,0.39,0.29764,0.20652,nan,nan,nan,0.000616049,0.000616049,0.000616049
65,875.915,0.82029,1.61907,1.16361,0.28473,0.3883,0.26218,0.20274,nan,nan,nan,0.000608193,0.000608193,0.000608193
66,892.862,0.85617,1.55347,1.19931,0.26671,0.3926,0.27766,0.20865,nan,nan,nan,0.000600337,0.000600337,0.000600337
67,908.525,0.86079,1.53172,1.20443,0.18951,0.43802,0.26189,0.20632,nan,nan,nan,0.00059248,0.00059248,0.00059248
68,924.261,0.85018,1.55931,1.17738,0.35184,0.28722,0.26083,0.20137,nan,nan,nan,0.000584624,0.000584624,0.000584624
69,939.28,0.80586,1.41938,1.15169,0.23199,0.51159,0.31311,0.239,nan,nan,nan,0.000576768,0.000576768,0.000576768
70,954.289,0.89212,1.52605,1.1976,0.3701,0.40307,0.39828,0.27942,nan,nan,nan,0.000568911,0.000568911,0.000568911
71,969.183,0.79423,1.50807,1.10799,0.36084,0.43869,0.44252,0.3235,nan,nan,nan,0.000561055,0.000561055,0.000561055
72,984.155,0.84997,1.54436,1.18131,0.29425,0.51819,0.3673,0.27904,nan,nan,nan,0.000553199,0.000553199,0.000553199
73,997.595,0.79769,1.60371,1.16438,0.23724,0.50136,0.34853,0.26631,nan,nan,nan,0.000545342,0.000545342,0.000545342
74,1010.69,0.84196,1.44781,1.16027,0.24542,0.4839,0.35071,0.26466,nan,nan,nan,0.000537486,0.000537486,0.000537486
75,1024.36,0.72787,1.32552,1.10227,0.35428,0.34542,0.36639,0.28697,nan,nan,nan,0.00052963,0.00052963,0.00052963
76,1037.91,0.78718,1.44513,1.09792,0.33117,0.45703,0.36846,0.27555,nan,nan,nan,0.000521773,0.000521773,0.000521773
77,1050.93,0.79167,1.44836,1.1633,0.27185,0.44079,0.33639,0.25852,nan,nan,nan,0.000513917,0.000513917,0.000513917
78,1063.81,0.74196,1.4876,1.07227,0.26514,0.35,0.31983,0.25476,nan,nan,nan,0.00050606,0.00050606,0.00050606
79,1077.32,0.77714,1.49805,1.14467,0.29987,0.36516,0.32415,0.26314,nan,nan,nan,0.000498204,0.000498204,0.000498204
80,1090.1,0.75305,1.61598,1.10172,0.25462,0.4531,0.34342,0.27797,nan,nan,nan,0.000490348,0.000490348,0.000490348
81,1102.91,0.79694,1.42534,1.13823,0.4873,0.3363,0.37691,0.30218,nan,nan,nan,0.000482491,0.000482491,0.000482491
82,1115.61,0.79951,1.2919,1.12818,0.25091,0.4023,0.31244,0.23766,nan,nan,nan,0.000474635,0.000474635,0.000474635
83,1128.41,0.75811,1.2466,1.12463,0.23196,0.48802,0.26646,0.19511,nan,nan,nan,0.000466779,0.000466779,0.000466779
84,1141.43,0.70809,1.28351,1.11095,0.23561,0.51136,0.26612,0.1922,nan,nan,nan,0.000458922,0.000458922,0.000458922
85,1154.31,0.77925,1.40867,1.13927,0.24499,0.47143,0.35893,0.27685,nan,nan,nan,0.000451066,0.000451066,0.000451066
86,1167.1,0.7719,1.41163,1.13269,0.24743,0.46208,0.37839,0.28646,nan,nan,nan,0.00044321,0.00044321,0.00044321
87,1179.95,0.75677,1.41021,1.14374,0.27054,0.51381,0.37655,0.2882,nan,nan,nan,0.000435353,0.000435353,0.000435353
88,1192.88,0.76806,1.26421,1.11555,0.2467,0.44982,0.33377,0.24352,nan,nan,nan,0.000427497,0.000427497,0.000427497
89,1205.57,0.70092,1.2617,1.10676,0.24451,0.46222,0.32451,0.25654,nan,nan,nan,0.000419641,0.000419641,0.000419641
90,1218.23,0.66274,1.27313,1.08397,0.31291,0.43365,0.3797,0.29376,nan,nan,nan,0.000411784,0.000411784,0.000411784
91,1230.93,0.72442,1.24145,1.09806,0.38733,0.41199,0.36112,0.29558,nan,nan,nan,0.000403928,0.000403928,0.000403928
92,1243.72,0.72366,1.16107,1.07092,0.28372,0.38462,0.29876,0.23927,nan,nan,nan,0.000396071,0.000396071,0.000396071
93,1256.39,0.69321,1.1053,1.11007,0.24636,0.50791,0.26341,0.22414,nan,nan,nan,0.000388215,0.000388215,0.000388215
94,1269.05,0.68255,1.10864,1.08774,0.24109,0.50354,0.30276,0.25376,nan,nan,nan,0.000380359,0.000380359,0.000380359
95,1281.7,0.67099,1.33888,1.05483,0.27813,0.4993,0.32346,0.27353,nan,nan,nan,0.000372502,0.000372502,0.000372502
96,1294.36,0.70102,1.16675,1.06141,0.29255,0.47256,0.37226,0.29698,nan,nan,nan,0.000364646,0.000364646,0.000364646
97,1307.12,0.70488,1.29346,1.08552,0.3286,0.41818,0.38274,0.29629,nan,nan,nan,0.00035679,0.00035679,0.00035679
98,1319.77,0.64484,1.24324,1.05592,0.28673,0.41222,0.35029,0.26771,nan,nan,nan,0.000348933,0.000348933,0.000348933
99,1332.43,0.68654,1.19759,1.10091,0.28517,0.43686,0.30885,0.2478,nan,nan,nan,0.000341077,0.000341077,0.000341077
100,1345.2,0.62279,1.02618,1.05126,0.2819,0.44274,0.3119,0.24225,nan,nan,nan,0.000333221,0.000333221,0.000333221
101,1358.05,0.67948,1.02002,1.07148,0.31394,0.40944,0.31161,0.24129,nan,nan,nan,0.000325364,0.000325364,0.000325364
102,1370.74,0.7122,1.09731,1.11512,0.27974,0.40944,0.28094,0.22696,nan,nan,nan,0.000317508,0.000317508,0.000317508
103,1383.58,0.68381,1.13874,1.08048,0.26535,0.42264,0.28729,0.22609,nan,nan,nan,0.000309652,0.000309652,0.000309652
104,1396.41,0.68561,1.10275,1.08477,0.25898,0.51024,0.36056,0.29371,nan,nan,nan,0.000301795,0.000301795,0.000301795
105,1409.11,0.69699,1.06876,1.08827,0.26369,0.48802,0.37487,0.29782,nan,nan,nan,0.000293939,0.000293939,0.000293939
106,1421.83,0.7123,1.05425,1.09865,0.26319,0.51024,0.37707,0.31212,nan,nan,nan,0.000286083,0.000286083,0.000286083
107,1434.57,0.62597,1.08748,1.07046,0.27124,0.51024,0.37771,0.31519,nan,nan,nan,0.000278226,0.000278226,0.000278226
108,1447.35,0.63359,1.1551,1.06382,0.31005,0.48353,0.4171,0.33844,nan,nan,nan,0.00027037,0.00027037,0.00027037
109,1460.05,0.67413,1.06564,1.06372,0.33004,0.48167,0.42841,0.34802,nan,nan,nan,0.000262513,0.000262513,0.000262513
110,1472.77,0.66047,1.02452,1.087,0.27969,0.48898,0.36329,0.30232,nan,nan,nan,0.000254657,0.000254657,0.000254657
111,1485.41,0.69034,1.16252,1.08347,0.30048,0.50059,0.37031,0.30841,nan,nan,nan,0.000246801,0.000246801,0.000246801
112,1498.21,0.63349,1.01551,1.07863,0.27807,0.48802,0.3414,0.27761,nan,nan,nan,0.000238944,0.000238944,0.000238944
113,1510.78,0.60396,1.16906,1.02351,0.26997,0.48802,0.33198,0.26623,nan,nan,nan,0.000231088,0.000231088,0.000231088
114,1523.63,0.62426,1.05951,1.04869,0.27857,0.49241,0.34587,0.2708,nan,nan,nan,0.000223232,0.000223232,0.000223232
115,1536.34,0.61758,1.02895,1.0247,0.30122,0.44685,0.40503,0.33156,nan,nan,nan,0.000215375,0.000215375,0.000215375
116,1549.16,0.64552,1.02799,1.06321,0.26627,0.53524,0.41238,0.34782,nan,nan,nan,0.000207519,0.000207519,0.000207519
117,1561.81,0.70025,0.99042,1.11319,0.26212,0.52438,0.41366,0.34111,nan,nan,nan,0.000199663,0.000199663,0.000199663
118,1574.5,0.57941,1.02383,1.01171,0.29259,0.48524,0.4381,0.35565,nan,nan,nan,0.000191806,0.000191806,0.000191806
119,1587.15,0.59926,0.89905,1.03669,0.32699,0.48524,0.43537,0.37046,nan,nan,nan,0.00018395,0.00018395,0.00018395
120,1599.87,0.6133,1.13372,1.0039,0.41686,0.43885,0.46619,0.39448,nan,nan,nan,0.000176094,0.000176094,0.000176094
121,1612.53,0.61817,1.04272,1.01913,0.44348,0.39475,0.45088,0.38498,nan,nan,nan,0.000168237,0.000168237,0.000168237
122,1625.18,0.66354,0.97904,1.1063,0.42546,0.40975,0.4541,0.3914,nan,nan,nan,0.000160381,0.000160381,0.000160381
123,1638.01,0.59868,0.9386,1.02896,0.36392,0.4531,0.42609,0.35774,nan,nan,nan,0.000152524,0.000152524,0.000152524
124,1650.64,0.60066,0.99107,1.02071,0.34149,0.45944,0.39952,0.33826,nan,nan,nan,0.000144668,0.000144668,0.000144668
125,1663.34,0.63336,0.8988,1.05533,0.36575,0.46199,0.4145,0.35036,nan,nan,nan,0.000136812,0.000136812,0.000136812
126,1676.07,0.60886,0.87088,1.07401,0.38268,0.48787,0.4153,0.35063,nan,nan,nan,0.000128955,0.000128955,0.000128955
127,1688.73,0.59105,0.94099,1.04106,0.34469,0.45944,0.3953,0.33573,nan,nan,nan,0.000121099,0.000121099,0.000121099
128,1701.42,0.51877,0.87458,0.99314,0.34913,0.45944,0.40776,0.34955,nan,nan,nan,0.000113243,0.000113243,0.000113243
129,1714.19,0.58554,0.96787,1.03911,0.32204,0.51024,0.4189,0.35941,nan,nan,nan,0.000105386,0.000105386,0.000105386
130,1726.92,0.59543,0.91899,1.00687,0.31474,0.48802,0.40745,0.34484,nan,nan,nan,9.75299e-05,9.75299e-05,9.75299e-05
131,1747.19,0.49317,0.77895,0.96248,0.41311,0.4023,0.3996,0.32186,nan,nan,nan,8.96736e-05,8.96736e-05,8.96736e-05
132,1759.88,0.45664,0.7837,0.91798,0.30068,0.51024,0.38011,0.3255,nan,nan,nan,8.18172e-05,8.18172e-05,8.18172e-05
133,1772.6,0.48086,0.78673,0.94987,0.42134,0.39751,0.37311,0.3158,nan,nan,nan,7.39609e-05,7.39609e-05,7.39609e-05
134,1785.3,0.43764,0.69621,0.92943,0.304,0.50537,0.37826,0.32342,nan,nan,nan,6.61045e-05,6.61045e-05,6.61045e-05
135,1798.06,0.47095,0.8102,0.94855,0.42016,0.39882,0.40892,0.35047,nan,nan,nan,5.82481e-05,5.82481e-05,5.82481e-05
136,1810.85,0.41659,0.64093,0.87412,0.4043,0.4023,0.3915,0.32948,nan,nan,nan,5.03918e-05,5.03918e-05,5.03918e-05
137,1823.61,0.43199,0.66042,0.92562,0.40382,0.4023,0.3915,0.33435,nan,nan,nan,4.25354e-05,4.25354e-05,4.25354e-05
138,1836.32,0.43621,0.71498,0.91723,0.29125,0.51024,0.39534,0.33923,nan,nan,nan,3.46791e-05,3.46791e-05,3.46791e-05
139,1849,0.42787,0.70682,0.92534,0.35598,0.4023,0.39583,0.34039,nan,nan,nan,2.68227e-05,2.68227e-05,2.68227e-05
140,1861.73,0.42302,0.70255,0.92436,0.37295,0.4023,0.39112,0.34322,nan,nan,nan,1.89664e-05,1.89664e-05,1.89664e-05
