epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3238,1.13345,4.50294,1.47911,0.00494,0.63286,0.09557,0.06345,nan,nan,nan,0.000365461,0.000365461,0.000365461
2,30.392,1.17667,4.21545,1.37687,0.6028,0.1974,0.12446,0.05609,nan,nan,nan,0.000730591,0.000730591,0.000730591
3,44.3346,1.28979,4.03638,1.51198,0.28374,0.16443,0.09439,0.04743,nan,nan,nan,0.00109048,0.00109048,0.00109048
4,58.1748,1.31747,3.95969,1.48196,0.25807,0.1974,0.09684,0.05245,nan,nan,nan,0.00108743,0.00108743,0.00108743
5,72.1337,1.33936,4.08671,1.54582,0.2029,0.37013,0.13351,0.07426,nan,nan,nan,0.00107957,0.00107957,0.00107957
6,86.0559,1.23175,3.74389,1.39682,0.28046,0.30519,0.15589,0.10107,nan,nan,nan,0.00107172,0.00107172,0.00107172
7,99.9861,1.29477,3.73404,1.48938,0.22264,0.27338,0.11797,0.04946,nan,nan,nan,0.00106386,0.00106386,0.00106386
8,113.948,1.28629,3.69816,1.46806,0.18142,0.25195,0.15703,0.0903,nan,nan,nan,0.00105601,0.00105601,0.00105601
9,127.964,1.23437,4.20633,1.38327,0.21801,0.10151,0.1331,0.07405,nan,nan,nan,0.00104815,0.00104815,0.00104815
10,142.024,1.27629,3.82968,1.44492,0.0992,0.29519,0.09419,0.07182,nan,nan,nan,0.00104029,0.00104029,0.00104029
11,156.1,1.32949,3.36219,1.57142,0.11025,0.18169,0.08704,0.05696,nan,nan,nan,0.00103244,0.00103244,0.00103244
12,170.195,1.31262,3.41629,1.49533,0.15594,0.21985,0.12909,0.0805,nan,nan,nan,0.00102458,0.00102458,0.00102458
13,184.316,1.19233,3.36194,1.43375,0.0718,0.30195,0.11564,0.07733,nan,nan,nan,0.00101672,0.00101672,0.00101672
14,198.296,1.23216,3.37412,1.47665,0.15965,0.30052,0.12342,0.05256,nan,nan,nan,0.00100887,0.00100887,0.00100887
15,212.541,1.16531,3.22989,1.39791,0.14542,0.20789,0.11376,0.05963,nan,nan,nan,0.00100101,0.00100101,0.00100101
16,226.701,1.24989,3.15781,1.48608,0.19276,0.28623,0.1872,0.12847,nan,nan,nan,0.000993155,0.000993155,0.000993155
17,240.824,1.2059,3.03807,1.42234,0.12334,0.31558,0.11063,0.05276,nan,nan,nan,0.000985298,0.000985298,0.000985298
18,255.238,1.19349,2.95137,1.43116,0.12118,0.20786,0.08972,0.05087,nan,nan,nan,0.000977442,0.000977442,0.000977442
19,269.379,1.2081,2.82925,1.44259,0.27327,0.20701,0.17329,0.09231,nan,nan,nan,0.000969586,0.000969586,0.000969586
20,283.385,1.22549,3.0338,1.40621,0.36799,0.22743,0.2231,0.11043,nan,nan,nan,0.000961729,0.000961729,0.000961729
21,297.528,1.21463,3.03362,1.42678,0.20704,0.19208,0.1638,0.07916,nan,nan,nan,0.000953873,0.000953873,0.000953873
22,311.704,1.115,2.89436,1.37739,0.08804,0.22135,0.12421,0.07064,nan,nan,nan,0.000946016,0.000946016,0.000946016
23,326.032,1.12225,2.97511,1.43155,0.12681,0.36013,0.15296,0.07798,nan,nan,nan,0.00093816,0.00093816,0.00093816
24,340.184,1.06102,2.80475,1.32945,0.30528,0.23558,0.14505,0.08893,nan,nan,nan,0.000930304,0.000930304,0.000930304
25,354.293,1.19012,2.59891,1.43469,0.22958,0.22844,0.19168,0.13647,nan,nan,nan,0.000922447,0.000922447,0.000922447
26,368.444,1.07918,2.60846,1.34882,0.26864,0.38558,0.3165,0.21057,nan,nan,nan,0.000914591,0.000914591,0.000914591
27,382.625,1.10234,2.4238,1.33258,0.57817,0.18957,0.28562,0.19353,nan,nan,nan,0.000906735,0.000906735,0.000906735
28,396.872,1.15103,2.50754,1.40493,0.32945,0.33466,0.30499,0.16055,nan,nan,nan,0.000898878,0.000898878,0.000898878
29,411.121,1.13532,2.61974,1.38797,0.28023,0.34091,0.27187,0.14917,nan,nan,nan,0.000891022,0.000891022,0.000891022
30,425.439,1.05906,2.40139,1.33343,0.16325,0.31997,0.23628,0.13554,nan,nan,nan,0.000883166,0.000883166,0.000883166
31,439.71,1.05748,2.29992,1.30798,0.30398,0.27779,0.27932,0.18813,nan,nan,nan,0.000875309,0.000875309,0.000875309
32,453.943,0.98992,2.1683,1.2771,0.40592,0.27597,0.29696,0.19821,nan,nan,nan,0.000867453,0.000867453,0.000867453
33,468.272,0.9926,2.32081,1.22736,0.3512,0.3193,0.23074,0.16546,nan,nan,nan,0.000859597,0.000859597,0.000859597
34,482.589,1.0379,2.2643,1.37066,0.18916,0.50364,0.24507,0.15478,nan,nan,nan,0.00085174,0.00085174,0.00085174
35,496.887,1.03806,2.22632,1.35745,0.27574,0.32569,0.24596,0.1775,nan,nan,nan,0.000843884,0.000843884,0.000843884
36,511.037,1.03061,2.30119,1.30002,0.19053,0.41852,0.25619,0.17515,nan,nan,nan,0.000836027,0.000836027,0.000836027
37,525.372,1.14058,2.22718,1.39028,0.33722,0.29416,0.24388,0.15857,nan,nan,nan,0.000828171,0.000828171,0.000828171
38,539.621,0.95543,2.20908,1.23996,0.32364,0.29416,0.25357,0.1519,nan,nan,nan,0.000820315,0.000820315,0.000820315
39,553.982,0.9752,2.15039,1.24127,0.20823,0.29779,0.22909,0.15173,nan,nan,nan,0.000812458,0.000812458,0.000812458
