epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.542,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025553,0.00025553,0.00025553
2,21.0135,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000518193,0.000518193,0.000518193
3,30.3112,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000776796,0.000776796,0.000776796
4,39.6304,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00103134,0.00103134,0.00103134
5,48.8648,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00107716,0.00107716,0.00107716
6,58.1297,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0010687,0.0010687,0.0010687
7,67.3768,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00106024,0.00106024,0.00106024
8,76.6957,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00105178,0.00105178,0.00105178
9,85.9862,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00104331,0.00104331,0.00104331
10,95.3298,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00103485,0.00103485,0.00103485
11,104.646,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00102639,0.00102639,0.00102639
12,113.948,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00101793,0.00101793,0.00101793
13,123.298,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100947,0.00100947,0.00100947
14,132.609,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100101,0.00100101,0.00100101
15,141.904,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00099255,0.00099255,0.00099255
16,151.256,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00098409,0.00098409,0.00098409
17,160.601,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000975629,0.000975629,0.000975629
18,169.888,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000967168,0.000967168,0.000967168
19,179.154,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000958708,0.000958708,0.000958708
20,188.464,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000950247,0.000950247,0.000950247
21,197.715,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000941786,0.000941786,0.000941786
22,206.987,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000933325,0.000933325,0.000933325
23,216.312,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000924865,0.000924865,0.000924865
24,225.643,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000916404,0.000916404,0.000916404
25,235.036,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000907943,0.000907943,0.000907943
26,244.349,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000899483,0.000899483,0.000899483
27,253.605,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000891022,0.000891022,0.000891022
28,262.822,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000882561,0.000882561,0.000882561
29,272.192,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000874101,0.000874101,0.000874101
30,281.502,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00086564,0.00086564,0.00086564
31,290.835,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000857179,0.000857179,0.000857179
32,300.206,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000848719,0.000848719,0.000848719
33,309.501,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000840258,0.000840258,0.000840258
34,318.748,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000831797,0.000831797,0.000831797
35,328.081,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000823336,0.000823336,0.000823336
36,337.399,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000814876,0.000814876,0.000814876
37,346.711,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000806415,0.000806415,0.000806415
38,355.998,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000797954,0.000797954,0.000797954
