epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.421,1.13345,4.50294,1.47911,0.00494,0.63286,0.09557,0.06345,nan,nan,nan,0.000365461,0.000365461,0.000365461
2,31.0934,1.16966,4.21998,1.36873,0.61597,0.1974,0.13318,0.05703,nan,nan,nan,0.000730938,0.000730938,0.000730938
3,45.7846,1.26518,3.98427,1.47815,0.3203,0.19662,0.13382,0.08449,nan,nan,nan,0.00109153,0.00109153,0.00109153
4,60.8458,1.35061,4.02825,1.4842,0.34293,0.13299,0.11298,0.06077,nan,nan,nan,0.001089,0.001089,0.001089
5,76.0013,1.41777,4.31245,1.53903,0.54049,0.20519,0.12943,0.06352,nan,nan,nan,0.00108167,0.00108167,0.00108167
6,90.8832,1.28627,3.93203,1.43067,0.52049,0.16494,0.14255,0.08026,nan,nan,nan,0.00107434,0.00107434,0.00107434
7,105.437,1.34471,3.80368,1.48632,0.12918,0.29623,0.07971,0.03748,nan,nan,nan,0.001067,0.001067,0.001067
8,120.707,1.27781,3.81515,1.42696,0.13653,0.28558,0.15727,0.08473,nan,nan,nan,0.00105967,0.00105967,0.00105967
9,135.796,1.25416,4.08238,1.39457,0.87018,0.13571,0.18675,0.09194,nan,nan,nan,0.00105234,0.00105234,0.00105234
10,151.034,1.35598,3.90496,1.49184,0.0762,0.29156,0.07729,0.03862,nan,nan,nan,0.00104501,0.00104501,0.00104501
11,166.342,1.34758,3.44197,1.57189,0.29347,0.22701,0.17559,0.08909,nan,nan,nan,0.00103767,0.00103767,0.00103767
12,181.576,1.32796,3.62628,1.517,0.21178,0.31159,0.17652,0.07408,nan,nan,nan,0.00103034,0.00103034,0.00103034
13,196.96,1.2409,3.5572,1.46022,0.55244,0.13571,0.20102,0.12299,nan,nan,nan,0.00102301,0.00102301,0.00102301
14,212.451,1.26796,3.49817,1.49438,0.22137,0.22056,0.15469,0.08695,nan,nan,nan,0.00101568,0.00101568,0.00101568
15,227.889,1.15805,3.30378,1.37984,0.0854,0.51442,0.19784,0.08715,nan,nan,nan,0.00100834,0.00100834,0.00100834
16,243.065,1.24486,3.13409,1.48087,0.139,0.27196,0.18822,0.10002,nan,nan,nan,0.00100101,0.00100101,0.00100101
17,257.731,1.1874,2.95794,1.3871,0.32721,0.17143,0.19185,0.0866,nan,nan,nan,0.000993678,0.000993678,0.000993678
18,272.468,1.24029,3.02256,1.46813,0.14069,0.27066,0.15202,0.07679,nan,nan,nan,0.000986346,0.000986346,0.000986346
19,287.053,1.13755,2.85045,1.42387,0.14768,0.32636,0.14132,0.07287,nan,nan,nan,0.000979013,0.000979013,0.000979013
20,301.612,1.15385,2.9257,1.38993,0.3705,0.43451,0.26179,0.13387,nan,nan,nan,0.000971681,0.000971681,0.000971681
21,316.394,1.19685,3.09728,1.43367,0.30877,0.30377,0.23347,0.14804,nan,nan,nan,0.000964348,0.000964348,0.000964348
22,330.919,1.06788,2.92864,1.33419,0.16546,0.30377,0.16481,0.09925,nan,nan,nan,0.000957015,0.000957015,0.000957015
23,345.143,1.21062,3.0063,1.49963,0.29684,0.31597,0.24379,0.15082,nan,nan,nan,0.000949683,0.000949683,0.000949683
24,359.06,1.03023,2.77489,1.28414,0.19816,0.27574,0.17315,0.1222,nan,nan,nan,0.00094235,0.00094235,0.00094235
25,372.798,1.15432,2.69034,1.41064,0.172,0.38234,0.19639,0.12276,nan,nan,nan,0.000935018,0.000935018,0.000935018
26,386.63,1.08561,2.6227,1.33594,0.14811,0.47312,0.19655,0.13151,nan,nan,nan,0.000927685,0.000927685,0.000927685
27,400.444,1.08294,2.48865,1.31773,0.48693,0.19286,0.29014,0.17832,nan,nan,nan,0.000920352,0.000920352,0.000920352
28,414.291,1.11669,2.515,1.3474,0.2616,0.32839,0.2223,0.13373,nan,nan,nan,0.00091302,0.00091302,0.00091302
29,428.087,1.13369,2.59133,1.37923,0.26784,0.30455,0.20744,0.14984,nan,nan,nan,0.000905687,0.000905687,0.000905687
30,441.927,1.08108,2.52212,1.33848,0.17462,0.32273,0.24817,0.15919,nan,nan,nan,0.000898355,0.000898355,0.000898355
31,455.972,1.00302,2.28199,1.28913,0.1682,0.32338,0.16137,0.09445,nan,nan,nan,0.000891022,0.000891022,0.000891022
