epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9032,1.29167,4.60159,1.50001,0.00665,0.64,0.16022,0.1106,nan,nan,nan,0.000364547,0.000364547,0.000364547
2,25.9924,1.16629,4.34076,1.36364,0.7843,0.03333,0.07379,0.043,nan,nan,nan,0.000727605,0.000727605,0.000727605
3,37.7995,1.33168,4.48801,1.44585,0.00348,0.94667,0.0432,0.01712,nan,nan,nan,0.00108333,0.00108333,0.00108333
4,49.6971,1.25153,4.44693,1.42831,0.03902,0.1,0.08309,0.03891,nan,nan,nan,0.001078,0.001078,0.001078
5,61.6353,1.24823,4.31762,1.43176,0.43919,0.08667,0.14538,0.05141,nan,nan,nan,0.001067,0.001067,0.001067
6,73.6412,1.3433,4.12123,1.54649,0.29816,0.12667,0.07684,0.03723,nan,nan,nan,0.00105601,0.00105601,0.00105601
7,85.6231,1.26119,4.37118,1.40531,0.28502,0.17333,0.11781,0.07206,nan,nan,nan,0.00104501,0.00104501,0.00104501
8,97.6038,1.34137,3.99104,1.52366,0.25369,0.17465,0.06807,0.0328,nan,nan,nan,0.00103401,0.00103401,0.00103401
9,109.74,1.34089,3.65789,1.53651,0.25937,0.3,0.08465,0.03755,nan,nan,nan,0.00102301,0.00102301,0.00102301
10,121.889,1.32784,3.66033,1.57886,0.35847,0.19008,0.17685,0.08815,nan,nan,nan,0.00101201,0.00101201,0.00101201
11,133.944,1.35763,3.60771,1.59326,0.27139,0.12,0.07398,0.04337,nan,nan,nan,0.00100101,0.00100101,0.00100101
12,145.971,1.30842,3.59355,1.49423,0.22572,0.3,0.05069,0.03213,nan,nan,nan,0.000990012,0.000990012,0.000990012
13,158.037,1.26429,3.40622,1.47436,0.08717,0.27524,0.09065,0.03302,nan,nan,nan,0.000979013,0.000979013,0.000979013
14,170.104,1.28236,3.60469,1.50775,0.79224,0.08667,0.13846,0.05384,nan,nan,nan,0.000968014,0.000968014,0.000968014
15,182.309,1.20662,3.52062,1.36285,0.29341,0.20667,0.17333,0.06041,nan,nan,nan,0.000957015,0.000957015,0.000957015
16,194.467,1.24075,3.41587,1.46552,0.27459,0.15333,0.10016,0.05216,nan,nan,nan,0.000946016,0.000946016,0.000946016
17,206.627,1.25446,3.12974,1.47601,0.45616,0.16688,0.10767,0.05472,nan,nan,nan,0.000935018,0.000935018,0.000935018
18,218.788,1.19345,3.19359,1.40787,0.57703,0.08667,0.17716,0.10307,nan,nan,nan,0.000924019,0.000924019,0.000924019
19,230.896,1.23677,3.03519,1.44232,0.0742,0.41333,0.1168,0.07176,nan,nan,nan,0.00091302,0.00091302,0.00091302
20,243.118,1.13758,3.03314,1.36862,0.10648,0.25152,0.20021,0.12071,nan,nan,nan,0.000902021,0.000902021,0.000902021
21,255.418,1.14328,2.87859,1.38844,0.18286,0.59048,0.17638,0.1005,nan,nan,nan,0.000891022,0.000891022,0.000891022
22,267.516,1.10909,3.51948,1.33844,0.17659,0.43202,0.19933,0.12129,nan,nan,nan,0.000880023,0.000880023,0.000880023
23,280.062,1.12971,3.15638,1.36335,0.40504,0.25333,0.17322,0.08625,nan,nan,nan,0.000869024,0.000869024,0.000869024
24,292.233,1.11281,2.93757,1.37962,0.16046,0.53068,0.18628,0.09264,nan,nan,nan,0.000858025,0.000858025,0.000858025
25,304.378,1.09408,3.12225,1.35042,0.13001,0.59619,0.19376,0.0991,nan,nan,nan,0.000847026,0.000847026,0.000847026
26,316.481,1.04421,2.85,1.29735,0.25782,0.41524,0.21191,0.1169,nan,nan,nan,0.000836027,0.000836027,0.000836027
27,328.637,1.09491,2.57321,1.34149,0.15649,0.58095,0.25584,0.12488,nan,nan,nan,0.000825029,0.000825029,0.000825029
28,340.904,1.01045,2.72136,1.30201,0.15337,0.56095,0.24723,0.12273,nan,nan,nan,0.00081403,0.00081403,0.00081403
29,353.105,1.00205,2.8764,1.27753,0.16287,0.42571,0.2038,0.11455,nan,nan,nan,0.000803031,0.000803031,0.000803031
30,365.301,1.05816,2.70024,1.28247,0.21781,0.3019,0.18129,0.11869,nan,nan,nan,0.000792032,0.000792032,0.000792032
31,377.345,1.04591,2.85808,1.26739,0.26769,0.32728,0.18188,0.11838,nan,nan,nan,0.000781033,0.000781033,0.000781033
32,389.515,1.04763,2.46459,1.27537,0.16439,0.33936,0.1484,0.08409,nan,nan,nan,0.000770034,0.000770034,0.000770034
33,401.611,1.05654,2.50645,1.32229,0.12435,0.42869,0.1623,0.09134,nan,nan,nan,0.000759035,0.000759035,0.000759035
